999 3993
0 154 19
0 161 63
0 306 50
0 437 53
0 670 52
0 886 7
0 908 52
2 96 24
2 206 4
2 681 40
2 687 66
2 794 10
2 900 20
3 64 95
3 298 10
3 537 98
3 706 38
3 716 23
4 183 35
4 783 20
4 923 64
5 487 27
5 649 97
6 43 40
6 137 96
6 547 98
6 606 89
7 601 48
7 888 17
8 853 52
8 996 97
9 609 69
9 923 3
10 393 3
10 444 21
10 682 12
11 522 66
11 886 78
12 11 35
12 800 69
13 93 18
13 144 100
13 223 79
13 447 37
13 628 95
14 128 89
14 154 35
14 176 32
14 425 11
14 748 70
15 240 52
15 334 75
15 609 96
15 939 48
16 242 15
16 526 92
16 802 46
16 845 3
16 891 39
17 621 62
17 650 54
17 717 35
17 801 31
17 851 57
18 17 38
18 102 51
18 343 68
18 435 4
19 99 29
19 246 2
19 404 73
19 594 46
20 53 2
20 268 51
20 413 83
20 434 96
20 635 39
21 116 17
21 383 27
21 969 50
22 73 86
22 130 78
22 164 24
22 870 81
23 424 26
24 167 38
24 650 73
25 55 72
25 100 40
25 128 11
25 476 33
25 590 94
26 300 46
26 397 63
26 455 50
26 459 84
26 482 14
26 814 17
27 367 87
27 554 42
27 728 19
28 58 59
28 108 88
28 482 20
29 40 10
29 135 70
29 595 15
30 147 49
30 511 87
30 529 42
30 806 98
30 838 72
30 918 20
31 112 21
31 115 53
31 392 45
32 113 58
32 477 25
32 563 16
32 740 98
32 961 36
32 979 49
33 132 91
33 548 81
34 431 12
35 37 41
35 157 64
35 317 25
35 523 58
35 589 51
35 595 67
35 731 76
35 747 10
35 822 54
35 825 96
35 889 19
35 926 24
35 953 11
36 462 68
36 539 10
36 974 52
37 753 65
37 775 81
37 777 71
37 793 85
38 135 34
38 224 16
38 514 43
38 876 59
38 917 32
39 419 40
39 695 94
39 835 81
40 129 31
40 500 75
40 511 92
40 925 72
40 962 39
41 798 17
42 17 29
42 60 89
42 98 83
42 119 5
43 23 98
43 73 37
43 830 100
44 48 17
44 209 60
44 263 11
44 362 84
44 372 69
45 81 62
45 712 49
46 283 50
46 813 33
47 546 33
47 821 83
48 120 49
48 800 76
49 339 42
49 423 80
49 449 16
50 20 36
50 583 60
50 925 46
50 990 10
51 53 52
51 157 17
51 173 49
51 877 68
51 992 46
52 521 37
52 755 51
52 756 50
53 140 35
53 663 87
54 39 50
54 374 52
54 685 46
54 985 61
55 34 36
56 22 14
56 74 22
56 149 84
56 246 64
56 871 55
56 925 16
57 549 46
57 787 3
57 896 92
57 942 88
58 13 83
58 74 7
58 77 23
58 157 43
58 205 52
58 560 32
59 30 95
59 200 69
59 723 80
59 887 63
59 914 15
60 523 17
61 812 13
62 28 64
62 47 52
62 215 100
62 486 14
62 581 4
63 355 45
63 567 74
63 685 39
64 20 59
64 493 96
64 681 22
65 178 22
65 194 51
65 386 38
65 413 68
65 684 54
65 737 29
65 787 55
65 889 37
66 247 35
66 289 77
66 379 80
66 897 87
67 337 9
67 612 74
67 840 56
67 976 89
68 331 36
68 762 70
69 204 6
69 442 48
69 444 34
69 742 58
69 949 48
70 98 48
70 623 61
70 816 92
70 897 22
71 318 99
71 477 51
71 674 17
71 962 20
72 99 72
72 358 68
72 363 57
72 519 40
73 461 22
73 514 86
73 770 94
74 110 58
74 513 20
74 633 71
74 713 37
74 950 7
75 44 80
75 285 10
76 986 62
77 132 68
77 286 46
77 947 31
77 954 74
78 114 94
78 319 64
78 412 31
78 418 41
79 257 12
79 931 91
80 14 33
80 99 33
80 468 90
81 201 83
81 315 49
81 377 9
81 384 55
81 447 17
82 142 66
82 236 94
82 340 38
82 527 52
82 557 88
82 854 95
83 30 71
83 454 59
84 133 32
84 159 78
84 244 38
84 681 42
84 759 39
84 780 5
84 995 87
85 860 70
85 988 79
86 169 81
86 180 34
86 292 9
86 352 21
86 425 45
86 461 100
86 479 53
86 971 77
87 6 89
87 142 35
87 175 26
87 247 98
87 937 90
88 273 42
88 359 64
88 381 83
88 744 80
89 130 15
89 318 71
89 334 75
89 382 86
89 687 29
89 693 6
89 750 63
89 778 66
90 746 48
90 914 1
91 139 71
91 163 35
91 252 71
91 760 49
91 891 15
91 941 4
92 56 57
92 463 35
92 826 49
92 961 56
93 44 88
93 93 25
93 134 45
93 255 23
93 617 51
93 693 42
94 48 12
94 425 92
94 506 5
94 662 94
94 809 72
94 998 19
95 699 64
95 815 46
95 818 4
95 834 93
96 237 52
96 348 66
96 787 58
96 942 99
97 2 67
97 84 28
97 195 33
97 551 38
97 635 77
97 892 48
98 12 42
98 221 34
98 251 82
98 689 90
98 780 90
98 835 69
99 224 14
99 264 34
99 360 91
99 382 64
